ieta = 0, ix = 118, iy = 197, energy density = 1.53221 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.178162
ieta = 0, ix = 118, iy = 197, energy density = 1.53221 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.111104
ieta = 0, ix = 118, iy = 197, energy density = 1.47572 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.116757
ieta = 0, ix = 116, iy = 197, energy density = 0.293475 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.140751
ieta = 0, ix = 116, iy = 197, energy density = 0.318265 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.117946
ieta = 0, ix = 120, iy = 195, energy density = 0.264616 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.237547
ieta = 0, ix = 120, iy = 195, energy density = 0.112037 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.161264
ieta = 0, ix = 118, iy = 194, energy density = 0.680454 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.108501
ieta = 0, ix = 118, iy = 194, energy density = 0.273332 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.10113
ieta = 0, ix = 120, iy = 198, energy density = 0.536165 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.349905
ieta = 0, ix = 115, iy = 196, energy density = 0.236286 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.265264
ieta = 0, ix = 117, iy = 194, energy density = 0.417827 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.116267
ieta = 0, ix = 120, iy = 197, energy density = 1.31412 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.151745
ieta = 0, ix = 117, iy = 194, energy density = 0.434773 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.203713
ieta = 0, ix = 119, iy = 197, energy density = 0.961452 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.232692
ieta = 0, ix = 119, iy = 196, energy density = 0.184979 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.165347
ieta = 0, ix = 118, iy = 198, energy density = 0.595051 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.198574
ieta = 0, ix = 119, iy = 196, energy density = 0.184979 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.183765
ieta = 0, ix = 118, iy = 198, energy density = 0.691287 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.198608
ieta = 0, ix = 116, iy = 195, energy density = 1.00773 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.113606
ieta = 0, ix = 118, iy = 195, energy density = 0.345206 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.26906
ieta = 0, ix = 121, iy = 199, energy density = 0.209094 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.108043
ieta = 0, ix = 117, iy = 196, energy density = 0.276289 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.391358
ieta = 0, ix = 116, iy = 191, energy density = 0.359403 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.104007
ieta = 0, ix = 116, iy = 191, energy density = 0.359403 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.115937
ieta = 0, ix = 115, iy = 194, energy density = 0.516766 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.101407
ieta = 0, ix = 115, iy = 191, energy density = 0.125547 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.114154
ieta = 0, ix = 116, iy = 194, energy density = 0.524186 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.220653
ieta = 0, ix = 116, iy = 194, energy density = 0.524186 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.487343
ieta = 0, ix = 116, iy = 194, energy density = 0.405345 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.75949
ieta = 0, ix = 117, iy = 194, energy density = 0.319792 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.114006
ieta = 0, ix = 117, iy = 194, energy density = 0.319792 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.192256
